,ticker,sectorKey,industryKey,vol_1y,vol_decile,beta_spy
0,EXEL,healthcare,biotechnology,0.4433836882908415,5,0.5718382800849983
1,FOLD,healthcare,biotechnology,0.4108202612930502,5,0.6971933741818149
4,TBPH,healthcare,biotechnology,0.4213427462598767,5,0.5666045139050166
5,ABUS,healthcare,biotechnology,0.43940887837794074,5,0.8479623100336975
6,MNKD,healthcare,biotechnology,0.5110325503322634,6,0.580051694075489
9,REGN,healthcare,biotechnology,0.4145224141851944,5,0.643855047520428
11,ONC,healthcare,biotechnology,0.47880605081666805,6,0.5135934044178763
12,INCY,healthcare,biotechnology,0.3541539800707753,4,0.5831679106737147
13,INSM,healthcare,biotechnology,0.4813942657990049,6,0.7186879572029223
15,SYBX,healthcare,biotechnology,0.5160372762223782,6,0.7493655825523347
17,AXSM,healthcare,biotechnology,0.44397902418005286,5,0.7187989187800632
18,MDGL,healthcare,biotechnology,0.5085780554250577,6,0.8845581615934488
19,JAZZ,healthcare,biotechnology,0.34033094892766713,4,0.863709795780528
21,MDWD,healthcare,biotechnology,0.4796642283892893,6,0.704095490184007
22,HALO,healthcare,biotechnology,0.47929794375577744,6,0.5987743810500261
23,IONS,healthcare,biotechnology,0.5004710588542848,6,0.784231001260219
24,MDXG,healthcare,biotechnology,0.439124001316834,5,0.6821599336164016
25,CPRX,healthcare,biotechnology,0.3981753089059502,5,0.8907682542973835
29,ACAD,healthcare,biotechnology,0.48961501569980553,6,0.8936525115050599
31,VNDA,healthcare,biotechnology,0.4489253506450383,5,0.6637929097890057
33,AUPH,healthcare,biotechnology,0.49275440703368545,6,0.6911917042149858
